id	Inactivated1	Inactivated2	Normal1	Normal2
AAEL021053	0	0	0	0
AAEL022518	0	0	0	0
AAEL027702	0	0	0	0
AAEL027993	0	0	0	0
AAEL025810	0	0	0	0
AAEL025875	0	0	0	0
AAEL027154	0	0	0	0
AAEL023957	0	0	0	0
AAEL022528	0	0	0	0
AAEL025702	0	0	0	0
AAEL020066	0	0	0	0
AAEL021182	0	0	0	0
AAEL022207	0	0	0	0
AAEL028154	0	0	0	0
AAEL024785	0	0	0	0
AAEL024392	0	0	0	0
AAEL025225	0	0	0	0
AAEL023590	0	0	0	0
AAEL022644	0	0	0	0
AAEL020023	0	0	0	0
AAEL023453	0	0	0	0
AAEL023849	0	0	0	0
AAEL022254	0	0	0	0
AAEL020600	0	0	0	0
AAEL024652	0	0	0	0
AAEL023656	0	0	0	0
AAEL021161	0	0	0	0
AAEL023950	0	0	0	0
AAEL024765	0	0	0	0
AAEL025101	0	0	0	0
AAEL022055	0	0	0	0
AAEL026275	0	0	0	0
AAEL027825	0	0	0	0
AAEL014936	0	0	0	0
AAEL022555	0	0	0	0
AAEL026950	0	0	0	0
AAEL021210	0	0	0	0
AAEL021425	1	0	0	0
AAEL028760	0	0	0	0
AAEL021313	2	0	3	0
AAEL022271	0	0	0	0
AAEL025136	0	0	0	0
AAEL020534	0	0	0	0
AAEL022554	0	0	0	0
AAEL021181	0	0	0	0
AAEL027048	0	0	0	0
AAEL022414	0	0	0	1
AAEL009181	2	5	0	0
AAEL028117	0	2	0	0
AAEL022613	0	0	0	0
AAEL010049	0	0	0	0
AAEL020758	0	1	0	0
AAEL023277	0	0	0	0
AAEL008454	59	59	156	87
AAEL021822	0	0	0	0
AAEL025368	0	0	0	0
AAEL005176	0	0	0	0
AAEL020213	0	0	0	0
AAEL024436	0	0	0	0
AAEL027602	0	0	0	0
AAEL022096	0	0	0	0
AAEL022651	5	8	0	1
AAEL025617	0	0	0	0
AAEL022733	0	0	0	0
AAEL024685	0	0	0	0
AAEL027394	0	0	0	0
AAEL023932	0	0	0	0
AAEL027778	0	0	0	0
AAEL026702	0	0	0	0
AAEL008395	91	66	22	51
AAEL026495	0	0	0	0
AAEL027754	7	5	0	5
AAEL025874	19	30	11	19
AAEL021246	0	0	0	0
AAEL020222	0	0	0	0
AAEL027508	0	0	0	0
AAEL027648	2	1	1	4
AAEL020316	11	14	14	4
AAEL021958	0	0	0	0
AAEL025456	1	0	0	0
AAEL020993	0	0	0	0
AAEL024580	0	0	0	0
AAEL020956	0	0	0	0
AAEL028962	0	0	0	0
AAEL024664	0	0	0	0
AAEL027312	0	0	0	0
AAEL023781	0	0	0	0
AAEL022915	0	0	0	0
AAEL028089	1	1	0	1
AAEL007017	28	42	11	45
AAEL020577	0	0	0	0
AAEL021133	0	0	0	0
AAEL026871	0	0	0	0
AAEL024254	2	5	5	6
AAEL027652	0	0	0	0
AAEL028679	0	0	0	0
AAEL028919	0	0	0	0
AAEL025175	0	0	0	0
AAEL020135	7	17	30	29
AAEL023241	0	1	0	0
AAEL027984	1	5	0	2
AAEL026881	0	0	0	0
AAEL026052	0	0	0	0
AAEL028703	0	0	0	0
AAEL026482	0	0	0	0
AAEL028812	0	0	0	0
AAEL024162	1	0	0	0
AAEL027624	0	0	0	0
AAEL025247	0	0	0	0
AAEL020774	0	0	0	0
AAEL022968	0	0	0	0
AAEL026539	0	0	0	0
AAEL022785	0	0	0	0
AAEL027636	0	0	0	0
AAEL024051	1	6	3	23
AAEL020182	0	0	0	0
AAEL024962	0	2	0	0
AAEL027836	0	0	0	0
AAEL021080	0	0	0	0
AAEL026931	0	0	0	0
AAEL023175	0	0	0	0
AAEL013232	0	0	0	0
AAEL025158	0	0	0	0
AAEL027503	0	0	0	0
AAEL026380	87	111	115	100
AAEL028666	0	0	0	0
AAEL025999	1290	358	1648	1038
AAEL026918	0	0	0	0
AAEL021216	0	0	0	0
AAEL025933	0	0	0	0
AAEL025213	17	25	39	21
AAEL021584	13	10	12	17
AAEL028158	0	0	0	0
AAEL026644	1	1	0	0
AAEL028924	0	0	0	0
AAEL024903	0	0	0	0
AAEL022957	0	0	0	0
AAEL026159	0	0	0	0
AAEL024245	0	0	0	0
AAEL025357	0	0	0	0
AAEL023203	0	0	0	0
AAEL020601	0	0	0	0
AAEL027640	0	0	0	0
AAEL021717	0	0	0	0
AAEL021792	0	0	0	0
AAEL028643	0	0	0	0
AAEL028926	0	0	0	0
AAEL025855	0	0	0	0
AAEL021401	0	0	0	0
AAEL025319	0	0	0	0
